Location,yes_rain,no_rain,yes_percentage
Portland,746,1117,0.400429415
CoffsHarbour,431,949,0.312318841
Cairns,751,1693,0.307283142
NorfolkIsland,743,1721,0.301542208
MountGambier,732,1733,0.296957404
Williamtown,320,878,0.267111853
Darwin,789,2273,0.257674722
Watsonia,684,2046,0.250549451
SydneyAirport,715,2155,0.24912892
Melbourne,471,1427,0.248155954
Sydney,416,1274,0.246153846
Hobart,468,1471,0.241361527
Brisbane,642,2311,0.217406028
MelbourneAirport,636,2293,0.217138955
Sale,359,1319,0.213945173
Perth,616,2409,0.203636364
Canberra,219,859,0.203153989
Nuriootpa,389,1619,0.1937251
PerthAirport,553,2360,0.189838654
WaggaWagga,427,1989,0.176738411
Townsville,394,2025,0.162877222
Moree,258,1655,0.134866702
Cobar,63,471,0.117977528
Mildura,289,2305,0.111410948
AliceSprings,187,2036,0.084120558
Woomera,129,1605,0.074394464
