Location,Humidity3pm,Pressure3pm,RainTomorrow
Albury,22,1007.1,No
Albury,25,1007.8,No
Albury,30,1008.7,No
Albury,16,1012.8,No
Albury,33,1006,No
Albury,23,1005.4,No
Albury,19,1008.2,No
Albury,19,1010.1,No
Albury,9,1003.6,Yes
Albury,27,1005.7,No
Albury,22,1008.7,Yes
Albury,91,1004.2,Yes
Albury,93,993,Yes
Albury,43,1001.8,No
Albury,28,1010.3,No
Albury,82,1010.4,Yes
Albury,65,1002.2,Yes
Albury,32,1009.7,No
Albury,26,1017.1,No
Albury,28,1014.8,No
Albury,28,1008.1,No
Albury,24,1005.7,No
Albury,23,1008.2,No
Albury,17,1010.1,No
Albury,19,1007.6,No
Albury,28,1003.6,No
Albury,15,1001.7,No
Albury,22,1004.2,Yes
Albury,70,1003.4,No
Albury,28,1005.1,No
Albury,26,1003.2,No
Albury,22,1013.1,No
Albury,22,1014.8,No
Albury,12,1010.3,No
Albury,9,1009.2,No
Albury,8,1006.7,No
Albury,12,1002.7,No
Albury,15,1010.9,No
Albury,16,1013.7,No
Albury,24,1008.1,No
Albury,31,1006.8,No
Albury,16,1012.1,No
Albury,19,1010.9,No
Albury,8,1006.9,No
Albury,28,1009.2,No
Albury,20,1012.7,No
Albury,16,1017.4,No
Albury,17,1016.2,No
Albury,10,1010.6,No
Albury,21,1004.8,No
Albury,17,1005.9,No
Albury,39,997.8,Yes
Albury,28,1003.9,No
Albury,21,1007.6,No
Albury,10,1014.6,No
Albury,12,1014.6,No
Albury,25,1014.1,No
Albury,15,1011.6,No
Albury,13,1011.8,No
Albury,11,1010.2,No
Albury,11,1010.5,No
Albury,9,1008.7,No
Albury,21,1007.4,No
Albury,21,1005.7,No
Albury,26,1004.7,No
Albury,15,1002.6,No
Albury,8,1005,No
Albury,11,1003.8,No
Albury,19,1006.5,No
Albury,31,1007.8,No
Albury,30,1008.5,No
Albury,24,1011.1,No
Albury,69,1017.3,Yes
Albury,21,1019.7,No
Albury,18,1016.4,No
Albury,23,1012.8,No
Albury,22,1013.8,No
Albury,17,1013.5,No
Albury,22,1007.5,No
Albury,16,1004.5,No
Albury,39,1010.8,No
Albury,19,1010.4,No
Albury,23,1012.4,No
Albury,10,1009.2,No
Albury,14,1012.7,No
Albury,16,1013.4,No
Albury,19,1015,No
Albury,25,1012.6,No
Albury,14,1004.6,No
Albury,27,1008.7,No
Albury,25,1011.6,No
Albury,35,1009,No
Albury,26,1013.1,No
Albury,33,1011.8,No
Albury,23,1012,No
Albury,22,1012.4,No
Albury,20,1014.7,No
Albury,28,1015.9,No
Albury,25,1016.2,Yes
Albury,23,1018,No
Albury,90,1018.9,Yes
Albury,68,1014.7,Yes
Albury,74,1008,Yes
Albury,41,1012,No
Albury,34,1011.6,No
Albury,34,1013.2,No
Albury,19,1013.9,No
Albury,15,1013.6,No
Albury,13,1013.6,No
Albury,17,1013.1,No
Albury,30,1012.7,No
Albury,25,1011.8,No
Albury,20,1014.4,No
Albury,78,1019.2,Yes
Albury,26,1017.2,No
